aaa	Acidovorax avenae
saa	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
saal	Candidatus Saccharimonas aalborgensis
sab	Staphylococcus aureus RF122
sac	Staphylococcus aureus subsp. aureus COL (MRSA)
saci	Singulisphaera acidiphila
sacn	Sulfolobus acidocaldarius N8
sacr	Sulfolobus acidocaldarius Ron12/I
sacs	Sulfolobus acidocaldarius SUSAZ
sad	Staphylococcus aureus subsp. aureus ED98
sae	Staphylococcus aureus subsp. aureus Newman
saf	Sulfurihydrogenibium azorense
sag	Streptococcus agalactiae 2603 (serotype V)
saga	Simiduia agarivorans
sagc	Streptococcus agalactiae 138spar
sage	Streptococcus agalactiae NGBS061
sagg	Streptococcus agalactiae NGBS572
sagi	Streptococcus agalactiae ILRI005
sagl	Streptococcus agalactiae 2-22 (serotype Ib)
sagm	Streptococcus agalactiae 09mas018883
sagn	Streptococcus agalactiae CNCTC 10/84
sagp	Streptococcus agalactiae 138P
sagr	Streptococcus agalactiae ILRI112
sags	Streptococcus agalactiae SA20-06
sagt	Streptococcus agalactiae COH1
sah	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
sai	Sulfolobus acidocaldarius DSM 639
saj	Staphylococcus aureus subsp. aureus JH9 (MRSA/VRSA)
sak	Streptococcus agalactiae A909 (serotype Ia)
sal	Sphingopyxis alaskensis
salb	Streptomyces albus
sali	Salinarchaeum sp. Harcht-Bsk1
salu	Streptomyces albulus
salv	Snodgrassella alvi
sam	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
san	Streptococcus agalactiae NEM316 (serotype III)
sanc	Streptococcus anginosus C238
sang	Streptococcus anginosus C1051
sans	Streptococcus anginosus SA1
sao	Staphylococcus aureus subsp. aureus NCTC8325
sap	Sulfobacillus acidophilus DSM 10332
sapi	Spiroplasma apis
saq	Salinispora arenicola
sar	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sas	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sat	Syntrophus aciditrophicus
sau	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
saua	Staphylococcus aureus subsp. aureus 55/2053
saub	Staphylococcus aureus 08BA02176
sauc	Staphylococcus aureus CA-347
saud	Staphylococcus aureus 502A
saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)
sauf	Staphylococcus aureus NRS 100
saui	Staphylococcus aureus USA300-ISMMS1
sauj	Staphylococcus aureus ST228/10497
sauk	Staphylococcus aureus ST228/15532
saum	Staphylococcus aureus M1
saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
sauq	Staphylococcus aureus ST228/16035
saur	Staphylococcus aureus Bmb9393
saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
saut	Staphylococcus aureus ST228/10388
sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
sauv	Staphylococcus aureus ST228/18412
sauw	Staphylococcus aureus ST228/16125
saux	Staphylococcus aureus ST228/18341
sauy	Staphylococcus aureus ST228/18583
sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
sav	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sax	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MSSA)
say	Sulfobacillus acidophilus TPY
saz	Shewanella amazonensis
sba	Sulfurospirillum barnesii
sbb	Shewanella baltica BA175
sbc	Shigella boydii CDC 3083-94
sbe	Candidatus Saccharibacteria bacterium
sbg	Salmonella bongori NCTC 12419
sbh	Streptomyces bingchenggensis
sbi	Sorghum bicolor (sorghum)
sbl	Shewanella baltica OS155
sbm	Shewanella baltica OS185
sbn	Shewanella baltica OS195
sbo	Shigella boydii Sb227
sbp	Shewanella baltica OS223
sbr	Fretibacterium fastidiosum
sbs	Shewanella baltica OS117
sbt	Shewanella baltica OS678
sbu	Sphaerochaeta globosa
sbv	Salmonella bongori serovar 48:z41:--
sbw	Symbiont bacterium UwTKB of Urostylis westwoodii
sbz	Salmonella bongori N268-08
sca	Staphylococcus carnosus
scb	Streptomyces scabiei
scc	Sphaerochaeta coccoides
scd	Treponema caldaria
sce	Saccharomyces cerevisiae (budding yeast)
scf	Streptococcus parasanguinis FW213
scg	Streptococcus constellatus subsp. pharyngis C1050
sch	Sphingobium chlorophenolicum
sci	Streptomyces collinus
scl	Sorangium cellulosum So ce 56
scm	Schizophyllum commune
scn	Solitalea canadensis
sco	Streptomyces coelicolor
scon	Streptococcus constellatus subsp. pharyngis C232
scos	Streptococcus constellatus subsp. pharyngis C818
scp	Streptococcus parasanguinis ATCC 15912
scq	Spiroplasma culicicola
scr	Spiroplasma chrysopicola
scs	Stanieria cyanosphaera
sct	Streptomyces cattleya NRRL 8057
scu	Sorangium cellulosum So0157-2
scw	Streptomyces cyaneogriseus
scy	Streptomyces cattleya NRRL 8057 = DSM 46488
sda	Streptococcus dysgalactiae subsp. equisimilis RE378
sdc	Streptococcus dysgalactiae subsp. equisimilis AC-2713
sde	Saccharophagus degradans
sdg	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
sdi	Spiroplasma diminutum
sdl	Sulfurospirillum deleyianum
sdn	Shewanella denitrificans
sdq	Streptococcus dysgalactiae subsp. equisimilis 167
sdr	Sulfuricella denitrificans
sds	Streptococcus dysgalactiae subsp. equisimilis GGS_124
sdt	Staphylococcus pseudintermedius ED99
sdv	Streptomyces davawensis
sdy	Shigella dysenteriae Sd197
sdz	Shigella dysenteriae 1617
sea	Salmonella enterica subsp. enterica serovar Agona SL483
seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sed	Salmonella enterica subsp. enterica serovar Dublin
see	Salmonella enterica subsp. enterica serovar Newport SL254
seeb	Salmonella enterica subsp. enterica serovar Bareilly
seec	Salmonella enterica subsp. enterica Serovar Cubana
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
seen	Salmonella enterica subsp. enterica serovar Typhimurium 08-1736
seep	Salmonella enterica subsp. enterica serovar Pullorum
sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
sehc	Secondary endosymbiont of Heteropsylla cubana
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
sen	Saccharopolyspora erythraea
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
sene	Salmonella enterica subsp. enterica serovar Thompson
senh	Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069
seni	Salmonella enterica subsp. enterica serovar Typhimurium 138736
senj	Salmonella enterica subsp. enterica serovar Javiana
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sep	Staphylococcus epidermidis ATCC 12228
sepp	Staphylococcus epidermidis PM221
seps	Staphylococcus epidermidis SEI
seq	Streptococcus equi subsp. zooepidemicus H70
sequ	Streptococcus equi subsp. zooepidemicus CY
ser	Staphylococcus epidermidis RP62A
serf	Serratia sp. FS14
serr	Serratia sp. ATCC 39006
sers	Serratia sp. SCBI
ses	Salmonella enterica subsp. arizonae
sesp	Saccharothrix espanaensis
set	Salmonella enterica subsp. enterica serovar Enteritidis
setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
seu	Streptococcus equi subsp. equi 4047
sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sez	Streptococcus equi subsp. zooepidemicus MGCS10565
sezo	Streptococcus equi subsp. zooepidemicus ATCC 35246
sfa	Streptomyces pratensis
sfc	Spirochaeta africana
sfd	Sinorhizobium fredii USDA 257
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfh	Sinorhizobium fredii HH103
sfi	Streptomyces fulvissimus
sfl	Shigella flexneri 301 (serotype 2a)
sfn	Shigella flexneri 2003036
sfo	Serratia fonticola
sfr	Shewanella frigidimarina
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
sfu	Syntrophobacter fumaroxidans
sfv	Shigella flexneri 8401 (serotype 5b)
sfx	Shigella flexneri 2457T (serotype 2a)
sga	Streptococcus gallolyticus UCN34
sgc	Streptococcus agalactiae GD201008-001 (serotype Ia)
sgg	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
sgl	Sodalis glossinidius (Glossina spp.)
sgn	Saprospira grandis
sgo	Streptococcus gordonii
sgp	Sphaerochaeta pleomorpha
sgr	Streptomyces griseus
sgt	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
sgu	Streptomyces glaucescens
sgy	Syntrophobotulus glycolicus
sha	Staphylococcus haemolyticus
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
shc	Staphylothermus hellenicus
shd	Sulfuritalea hydrogenivorans
she	Shewanella sp. MR-4
shg	Sphingobacterium sp. 21
shi	Slackia heliotrinireducens
shl	Shewanella halifaxensis
shm	Shewanella sp. MR-7
shn	Shewanella sp. ANA-3
sho	Streptomyces hygroscopicus subsp. jinggangensis TL01
shp	Shewanella putrefaciens 200
shr	Sarcophilus harrisii (Tasmanian devil)
shs	Stereum hirsutum
sht	Sphingobacterium sp. ML3W
shu	Staphylococcus hyicus
shw	Shewanella sp. W3-18-1
shy	Streptomyces hygroscopicus subsp. jinggangensis 5008
sia	Sulfolobus islandicus M.14.25
sib	Streptococcus intermedius B196
sic	Sulfolobus islandicus LAL14/1
sid	Sulfolobus islandicus M.16.4
sie	Streptococcus intermedius JTH08
sif	Streptococcus infantarius
sig	Streptococcus sp. I-G2
sih	Sulfolobus islandicus HVE10/4
sii	Sulfolobus islandicus L.D.8.5
sik	Streptococcus iniae SF1
sil	Ruegeria pomeroyi
sim	Sulfolobus islandicus M.16.27
sin	Sulfolobus islandicus Y.N.15.51
sio	Streptococcus iniae ISNO
sip	Streptococcus sp. I-P16
siq	Streptococcus iniae ISET0901
sir	Sulfolobus islandicus REY15A
sis	Sulfolobus islandicus L.S.2.15
sit	Ruegeria sp. TM1040
sita	Setaria italica (foxtail millet)
siu	Streptococcus intermedius C270
siv	Solibacillus silvestris
siy	Sulfolobus islandicus Y.G.57.14
siz	Streptococcus iniae SFST01-82
sjj	Streptococcus pneumoniae JJA
sjp	Sphingobium japonicum
ske	Sanguibacter keddieii
sku	Sulfuricurvum kujiense
sla	Serpula lacrymans
slg	Staphylococcus lugdunensis HKU09-01
sli	Spirosoma linguale
sln	Staphylococcus lugdunensis N920143
slo	Shewanella loihica
slp	Syntrophothermus lipocalidus
slq	Serratia liquefaciens
slr	Salinispira pacifica
slt	Sideroxydans lithotrophicus
slu	Streptococcus lutetiensis
slv	Streptomyces lividans
sly	Solanum lycopersicum (tomato)
sma	Streptomyces avermitilis
smaf	Serratia marcescens FGI94
smar	Serratia marcescens SM39
smb	Streptococcus mitis
smc	Streptococcus mutans NN2025
smd	Sinorhizobium medicae
sme	Sinorhizobium meliloti 1021
smeg	Sinorhizobium meliloti GR4
smel	Sinorhizobium meliloti 2011
smer	Sinorhizobium meliloti RMO17
smf	Streptobacillus moniliformis
smg	Candidatus Sulcia muelleri GWSS
smh	Candidatus Sulcia muelleri DMIN
smi	Sinorhizobium meliloti Rm41
smia	Spiroplasma mirum ATCC 29335 SMCA
smir	Spiroplasma mirum ATCC 29335
smj	Streptococcus mutans LJ23
smk	Sinorhizobium meliloti AK83
sml	Stenotrophomonas maltophilia K279a
smm	Schistosoma mansoni
smn	Streptococcus macedonicus
smo	Selaginella moellendorffii
smp	Sordaria macrospora
smq	Sinorhizobium meliloti BL225C
smr	Staphylothermus marinus
sms	Candidatus Sulcia muelleri SMDSEM
smt	Stenotrophomonas maltophilia R551-3
smu	Streptococcus mutans UA159
smub	Candidatus Sulcia muelleri BGSS
smue	Candidatus Sulcia muelleri TETUND
smul	Sulfurospirillum multivorans
smum	Candidatus Sulcia muelleri ML
smup	Candidatus Sulcia muelleri PSPU
smut	Streptococcus mutans GS-5
smv	Candidatus Sulcia muelleri Sulcia-ALF
smw	Serratia marcescens WW4
smx	Sinorhizobium meliloti SM11
smz	Stenotrophomonas maltophilia D457
sna	Stackebrandtia nassauensis
snb	Streptococcus pneumoniae 670-6B
snc	Streptococcus pneumoniae TCH8431/19A
snd	Streptococcus pneumoniae ST556
sne	Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
sng	Simkania negevensis
sni	Streptococcus pneumoniae INV104
snm	Streptococcus pneumoniae 70585
sno	Starkeya novella
snp	Streptococcus pneumoniae AP200
snt	Streptococcus pneumoniae Taiwan19F-14
snu	Streptococcus pneumoniae SPNA45
snv	Streptococcus pneumoniae INV200
snx	Streptococcus pneumoniae OXC141
sod	Sodalis sp. HS1
soi	Streptococcus oligofermentans
sol	Sulfolobus solfataricus 98/2
son	Shewanella oneidensis
sor	Streptococcus oralis
sot	Solanum tuberosum (potato)
sox	Candidatus Saccharibacteria oral
soz	Streptococcus pyogenes NZ131 (serotype M49)
spa	Streptococcus pyogenes MGAS10394 (serotype M6)
spaa	Spathaspora passalidarum
spas	Staphylococcus pasteuri
spb	Streptococcus pyogenes MGAS6180 (serotype M28)
spc	Shewanella putrefaciens CN-32
spd	Streptococcus pneumoniae D39 (virulent serotype 2)
spe	Serratia proteamaculans
spf	Streptococcus pyogenes Manfredo (serotype M5)
spg	Streptococcus pyogenes MGAS315 (serotype M3)
sph	Streptococcus pyogenes MGAS10270 (serotype M2)
sphk	Sphingopyxis sp. Kp5.2
sphm	Sphingomonas sp. MM-1
spi	Streptococcus pyogenes MGAS10750 (serotype M4)
spiu	Spiribacter sp. UAH-SP71
spj	Streptococcus pyogenes MGAS2096 (serotype M12)
spk	Streptococcus pyogenes MGAS9429 (serotype M12)
spl	Shewanella pealeana
spm	Streptococcus pyogenes MGAS8232 (serotype M18)
spn	Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spne	Streptococcus pneumoniae SPN034156
spng	Streptococcus pneumoniae gamPNI0373
spnm	Streptococcus pneumoniae SPN994038
spnn	Streptococcus pneumoniae A026
spno	Streptococcus pneumoniae SPN994039
spnu	Streptococcus pneumoniae SPN034183
spo	Schizosaccharomyces pombe (fission yeast)
spp	Streptococcus pneumoniae P1031
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
spr	Streptococcus pneumoniae R6 (avirulent)
sps	Streptococcus pyogenes SSI-1 (serotype M3)
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
spu	Strongylocentrotus purpuratus (purple sea urchin)
spv	Streptococcus pneumoniae Hungary19A 6
spw	Streptococcus pneumoniae CGSP14 (serotype 14)
spx	Streptococcus pneumoniae G54 (serotype 19F)
spy	Streptococcus pyogenes SF370 (serotype M1)
spya	Streptococcus pyogenes A20
spyh	Streptococcus pyogenes HSC5
spym	Streptococcus pyogenes M1 476 (serotype M1)
spyo	Streptococcus pyogenes STAB901 (serotype M44)
spz	Streptococcus pyogenes MGAS5005 (serotype M1)
sra	Serratia sp. AS13
srb	Candidate division SR1 bacterium RAAC1_SR1_1
src	Streptomyces rapamycinicus
sri	Selenomonas ruminantium
srl	Serratia plymuthica 4Rx13
srm	Salinibacter ruber M8
sro	Streptosporangium roseum
srp	Streptococcus suis ST1
srr	Serratia plymuthica AS9
srs	Serratia sp. AS12
srt	Segniliparus rotundus
sru	Salinibacter ruber DSM 13855
sry	Serratia plymuthica S13
ssa	Streptococcus sanguinis
ssab	Spiroplasma sabaudiense
ssal	Spiribacter salinus
ssb	Streptococcus suis BM407
ssc	Sus scrofa (pig)
ssd	Staphylococcus pseudintermedius HKU10-03
ssdc	Candidatus Profftella armatura
sse	Shewanella sediminis
ssf	Streptococcus suis A7
ssg	Selenomonas sputigena
ssi	Streptococcus suis P1/7
ssj	Shigella sonnei 53G
ssk	Streptococcus suis D12
ssl	Sclerotinia sclerotiorum
ssm	Spirochaeta smaragdinae
ssn	Shigella sonnei Ss046
sso	Sulfolobus solfataricus P2
ssp	Staphylococcus saprophyticus
ssq	Streptococcus suis D9
ssr	Streptococcus salivarius CCHSS3
sss	Streptococcus suis SC84
sst	Streptococcus suis ST3
ssu	Streptococcus suis 05ZYH33
ssui	Streptococcus suis T15
ssus	Streptococcus suis SC070731
ssut	Streptococcus suis TL13
ssuy	Streptococcus suis YB51
ssv	Streptococcus suis 98HAH33
ssw	Streptococcus suis GZ1
ssx	Streptomyces sp. SirexAA-E
ssy	Sphingobium sp. SYK-6
ssyr	Spiroplasma syrphidicola
ssz	Serratia symbiotica
sta	Spirochaeta thermophila DSM 6192
stai	Spiroplasma taiwanense
stax	Sphingomonas taxi
stb	Streptococcus pasteurianus
stc	Streptococcus thermophilus CNRZ1066
std	Streptococcus pseudopneumoniae
ste	Streptococcus thermophilus LMD-9
stf	Streptococcus salivarius 57.I
stg	Streptococcus pyogenes MGAS15252 (serotype M59)
sth	Symbiobacterium thermophilum
sthe	Streptococcus thermophilus ASCC 1275
sti	Sphaerobacter thermophilus
stj	Streptococcus salivarius JIM8777
stk	Streptococcus parauberis
stl	Streptococcus thermophilus LMG18311
stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
stn	Streptococcus thermophilus ND03
sto	Sulfolobus tokodaii
stp	Salinispora tropica
stq	Spirochaeta thermophila DSM 6578
str	Sebaldella termitidis
stre	Streptomyces sp. 769
strp	Streptomyces sp. PAMC26508
strs	Streptococcus salivarius NCTC 8618
stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
stu	Streptococcus thermophilus JIM 8232
stv	Streptococcus sp. VT 162
stw	Streptococcus thermophilus MN-ZLW-002
stx	Streptococcus pyogenes MGAS1882
sty	Salmonella enterica subsp. enterica serovar Typhi CT18
stz	Streptococcus pyogenes Alab49 (serotype M53)
sua	Sulfurimonas autotrophica
sub	Streptococcus uberis
suc	Staphylococcus aureus subsp. aureus ECT-R 2
sud	Staphylococcus aureus subsp. aureus 71193
sue	Staphylococcus aureus subsp. aureus ED133
suf	Staphylococcus aureus subsp. aureus LGA251
sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suh	Staphylococcus aureus subsp. aureus MSHR1132
sui	Streptococcus suis JS14
suj	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)
suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
sul	Sulfurihydrogenibium sp. YO3AOP1
sulr	Uncultured Sulfuricurvum sp. RIFRC-1
sum	Candidatus Sulcia muelleri CARI
sun	Sulfurovum sp. NBC37-1
suo	Streptococcus suis SS12
sup	Streptococcus suis S735
suq	Staphylococcus aureus subsp. aureus TCH60
sur	Stigmatella aurantiaca
sus	Candidatus Solibacter usitatus
sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)
suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	Staphylococcus aureus subsp. aureus VC40
suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sux	Staphylococcus aureus subsp. aureus HO 5096 0412
suy	Staphylococcus aureus 04-02981
suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sve	Streptomyces venezuelae
svi	Saccharomonospora viridis
svl	Streptomyces violaceusniger
svo	Shewanella violacea
svt	Streptomyces vietnamensis
swa	Staphylococcus warneri
swd	Shewanella woodyi
swi	Sphingomonas wittichii
swo	Syntrophomonas wolfei
swp	Shewanella piezotolerans
sxl	Staphylococcus xylosus SMQ-121
sxy	Staphylococcus xylosus HKUOPL8
syc	Synechococcus elongatus PCC6301
syd	Synechococcus sp. CC9605
sye	Synechococcus sp. CC9902
syf	Synechococcus elongatus PCC7942
syg	Synechococcus sp. CC9311
syj	Synechocystis sp. PCC 6714
syn	Synechocystis sp. PCC 6803
synd	Synechococcus sp. KORDI-52
syne	Synechococcus sp. PCC 6312
synk	Synechococcus sp. KORDI-100
synp	Synechococcus sp. PCC 7502
synr	Synechococcus sp. KORDI-49
syp	Synechococcus sp. PCC7002
syq	Synechocystis sp. PCC 6803 PCC-P
syr	Synechococcus sp. RCC307
sys	Synechocystis sp. PCC 6803 PCC-N
syt	Synechocystis sp. PCC 6803 GT-I
syu	Synechococcus sp. UTEX 2973
syw	Synechococcus sp. WH8102
syx	Synechococcus sp. WH7803
syy	Synechocystis sp. PCC 6803 GT-S
syz	Synechocystis sp. PCC 6803
tac	Thermoplasma acidophilum
tad	Trichoplax adhaerens
tae	Tepidanaerobacter acetatoxydans Re1
taf	Thermosipho africanus
tag	Thermosphaera aggregans
tai	Thermanaerovibrio acidaminovorans
tal	Thermocrinis albus
tam	Thermovibrio ammonificans
tan	Theileria annulata
tao	Thioalkalimicrobium aerophilum
tap	Terribacillus aidingensis
tar	Thermoplasmatales archaeon BRNA1
tas	Taylorella asinigenitalis MCE3
tat	Taylorella asinigenitalis 14/45
tau	Tolumonas auensis
taz	Treponema azotonutricium
tba	Thermococcus barophilus
tbd	Thiobacillus denitrificans
tbe	Treponema brennaborense
tbi	Thermobispora bispora
tbl	Tetrapisispora blattae
tbn	Thiolapillus brandeum
tbo	Thermoanaerobacter brockii
tbr	Trypanosoma brucei
tca	Tribolium castaneum (red flour beetle)
tcb	Thermofilum carboxyditrophus
tcc	Theobroma cacao (cacao)
tcm	Thermodesulfobacterium commune
tco	Thermobacillus composti
tcr	Trypanosoma cruzi
tcu	Thermomonospora curvata
tcx	Thiomicrospira crunogena
tcy	Thioalkalimicrobium cyclicum
tde	Treponema denticola
tdl	Torulaspora delbrueckii
tdn	Sulfurimonas denitrificans
tea	Taylorella equigenitalis ATCC 35865
teg	Taylorella equigenitalis 14/56
tel	Thermosynechococcus elongatus
tep	Tepidanaerobacter acetatoxydans Re1
teq	Taylorella equigenitalis MCE9
ter	Trichodesmium erythraeum
tet	Tetrahymena thermophila
teu	Thermococcus eurythermalis
tex	Thermoanaerobacter sp. X514
tfo	Tannerella forsythia
tfu	Thermobifida fusca
tga	Thermococcus gammatolerans
tgo	Toxoplasma gondii
tgr	Thioalkalivibrio sulfidiphilus
tgu	Taeniopygia guttata (zebra finch)
tha	Thermococcus sp. AM4
thal	Endolissoclinum patella
thb	Thermofilum sp. 1910b
thc	Thermus sp. CCB_US3_UF1
the	Thermococcus sp. 4557
thg	Thermogladius cellulolyticus
thi	Thiomonas arsenitoxydans
thl	Tetragenococcus halophilus
thm	Thermococcus sp. CL1
thn	Thermosynechococcus sp. NK55
thq	Thermotoga sp. 2812B
thr	Thermotoga sp. RQ7
ths	Thermococcus sp. ES1
thx	Thermoanaerobacter sp. X513
thz	Thermotoga sp. Cell2
tid	Thermodesulfatator indicus
tig	Thioploca ingrica
tin	Thiomonas intermedia
tit	Thermoanaerobacter italicus
tjr	Thermincola potens
tki	Thermoanaerobacter kivui
tkm	Thioalkalivibrio sp. K90mix
tko	Thermococcus kodakarensis
tle	Thermotoga lettingae
tli	Thermovirga lienii
tlt	Thermococcus litoralis
tma	Thermotoga maritima
tmb	Thioflavicoccus mobilis
tme	Thermosipho melanesiensis
tmi	Thermotoga maritima
tml	Tuber melanosporum
tmm	Thermotoga maritima
tmn	Togninia minima
tmo	Tistrella mobilis
tmr	Thermaerobacter marianensis
tms	Tremella mesenterica
tmt	Thermoanaerobacter mathranii
tmz	Thauera sp. MZ1T
tna	Thermotoga neapolitana
tne	Pyrobaculum neutrophilum
tni	Thioalkalivibrio nitratireducens
tnp	Thermotoga naphthophila
tnr	Thermodesulfobium narugense
tnu	Thermococcus nautili
toc	Thermosediminibacter oceani
tol	Thalassolituus oleivorans MIL-1
ton	Thermococcus onnurineus
top	Thermodesulfobacterium geofontis
tor	Thalassolituus oleivorans R6-15
tos	Thermus oshimai
tot	Theileria orientalis
tpa	Treponema pallidum subsp. pallidum Nichols
tpas	Treponema pallidum subsp. pallidum Sea 81-4
tpb	Treponema pallidum Fribourg-Blanc
tpc	Treponema pallidum subsp. pertenue CDC2
tpd	Thermoanaerobacter pseudethanolicus
tpe	Thermofilum pendens
tped	Treponema pedis
tpf	Tetrapisispora phaffii
tpg	Treponema pallidum subsp. pertenue Gauthier
tph	Treponema pallidum subsp. pallidum Chicago
tpi	Treponema primitia
tpj	Candidatus Tremblaya phenacola
tpk	Treponema putidum
tpl	Treponema paraluiscuniculi
tpm	Treponema pallidum subsp. pertenue SamoaD
tpn	Candidatus Tremblaya princeps PCIT
tpo	Treponema pallidum subsp. pallidum Mexico A
tpp	Treponema pallidum subsp. pallidum SS14
tpq	Candidatus Tremblaya princeps PCVAL
tpr	Tsukamurella paurometabola
tps	Thalassiosira pseudonana
tpt	Thermotoga petrophila
tpu	Treponema pallidum subsp. pallidum DAL-1
tpv	Theileria parva
tpw	Treponema pallidum subsp. pallidum Nichols
tpx	Turneriella parva
tpy	Trueperella pyogenes TP6375
tpyo	Trueperella pyogenes TP8
tpz	Thermacetogenium phaeum
tra	Truepera radiovictrix
trd	Thermocrinis ruber
tre	Trichoderma reesei
trm	Treponema sp. OMZ 838
tro	Thermomicrobium roseum
trq	Thermotoga sp. RQ2
trs	Terriglobus roseus
tru	Takifugu rubripes (torafugu)
tsa	Terriglobus saanensis
tsc	Thermus scotoductus
tsh	Thermoanaerobacterium saccharolyticum
tsi	Thermococcus sibiricus
tsp	Trichinella spiralis
tsu	Treponema succinifaciens
tta	Thermotoga thermarum
tte	Thermoanaerobacter tengcongensis
tth	Thermus thermophilus HB27
tti	Thioalkalivibrio thiocyanoxidans
ttj	Thermus thermophilus HB8
ttl	Thermus thermophilus JL-18
ttm	Thermoanaerobacterium thermosaccharolyticum DSM 571
ttn	Thermoproteus tenax
tto	Thermoanaerobacterium thermosaccharolyticum M0795
ttr	Thermobaculum terrenum
tts	Thermus thermophilus SG0.5JP17-16
ttt	Thielavia terrestris
ttu	Teredinibacter turnerae
tup	Tupaia chinensis (Chinese tree shrew)
tuz	Thermoproteus uzoniensis
tva	Trichomonas vaginalis
tve	Trichophyton verrucosum
tvi	Thiocystis violascens
tvo	Thermoplasma volcanium
twh	Tropheryma whipplei Twist
twi	Thermoanaerobacter wiegelii
tws	Tropheryma whipplei TW08/27
txi	Thalassospira xiamenensis
txy	Thermoanaerobacterium xylanolyticum
tye	Thermodesulfovibrio yellowstonii
udi	Candidatus Uzinura diaspidicola
uma	Ustilago maydis
umr	Ursus maritimus (polar bear)
upa	Ureaplasma parvum serovar 3 ATCC 27815
upr	Ureaplasma parvum serovar 3 SV3F4
ure	Uncinocarpus reesii
uue	Ureaplasma urealyticum
uur	Ureaplasma parvum serovar 3 ATCC 700970
vag	Vibrio alginolyticus
val	Verticillium alfalfae
van	Vibrio anguillarum 775
vap	Variovorax paradoxus S110
vau	Vibrio anguillarum NB10
vca	Vibrio campbellii
vce	Vibrio cholerae O1 2010EL-1786
vch	Vibrio cholerae O1 biovar El Tor N16961
vci	Vibrio cholerae IEC224
vcj	Vibrio cholerae MJ-1236
vcl	Vibrio cholerae LMA3984-4
